experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-05,exp05_p01_m02_ro000_lh00,exact,12.75000,17.25000,4.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,exact,17.25000,18.00000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,exact,18.00000,20.25000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,exact,20.25000,33.75000,13.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,exact,33.75000,36.00000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,exact,36.00000,37.50000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,exact,37.50000,46.50000,9.00000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,exact,46.50000,48.00000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,exact,48.00000,57.00000,9.00000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,exact,57.00000,60.00000,3.00000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,baseline,0,1.50,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,baseline,1.50,10.50,9.00,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,baseline,10.50,12.00,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,baseline,12.00,12.75,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,baseline,12.75,17.25,4.50,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,baseline,17.25,18.00,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,baseline,18.00,20.25,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,baseline,20.25,33.75,13.50,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,baseline,33.75,36.00,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,baseline,36.00,37.50,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,baseline,37.50,46.80,9.30,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,baseline,46.80,48.30,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,baseline,48.30,57.60,9.30,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,baseline,57.60,58.20,0.60,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,baseline,58.20,61.20,3.00,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,exact,0,1.50000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,exact,1.50000,10.50000,9.00000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,exact,10.50000,12.00000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,exact,12.00000,12.75000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,exact,12.75000,17.25000,4.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,exact,17.25000,18.00000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,exact,18.00000,20.25000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,exact,20.25000,33.75000,13.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,exact,33.75000,36.00000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,exact,36.00000,37.50000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,exact,37.50000,46.80000,9.30000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,exact,46.80000,48.30000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh00,exact,48.30000,57.60000,9.30000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,exact,57.60000,58.20000,0.60000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh00,exact,58.20000,61.20000,3.00000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,baseline,0,1.50,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,baseline,1.50,10.50,9.00,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh05,baseline,10.50,12.00,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,baseline,12.00,12.75,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,baseline,12.75,17.25,4.50,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh05,baseline,17.25,18.00,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,baseline,18.00,20.25,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,baseline,20.25,33.75,13.50,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh05,baseline,33.75,36.00,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,baseline,36.00,37.650,1.650,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,baseline,37.650,46.800,9.150,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh05,baseline,46.800,48.450,1.650,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,baseline,48.450,57.600,9.150,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh05,baseline,57.600,57.900,0.300,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh05,baseline,57.900,61.200,3.300,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,exact,0,1.50000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,exact,1.50000,10.50000,9.00000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh05,exact,10.50000,12.00000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,exact,12.00000,12.75000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,exact,12.75000,17.25000,4.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro050_lh05,exact,17.25000,18.00000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,exact,18.00000,20.25000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro050_lh05,exact,20.25000,33.75000,13.50000,1,0,0,1,0,false
